n_max,l_max,sigma,dimensions,variance_at_15
4,4,0.3,180,0.9667598132330262
4,4,0.35,180,0.968840458737294
4,4,0.4,180,0.9726492247228686
4,4,0.45,180,0.9768342568442728
4,4,0.5,180,0.9812679705015679
4,4,0.55,180,0.9854102356760601
4,4,0.6,180,0.9888581067795204
6,6,0.3,546,0.9117381530017197
6,6,0.35,546,0.9210491561362241
6,6,0.4,546,0.9329289426694296
6,6,0.45,546,0.9452457211440769
6,6,0.5,546,0.9566460015132743
6,6,0.55,546,0.9664866690019238
6,6,0.6,546,0.9745598485389588
8,8,0.3,1224,0.8994361973388912
8,8,0.35,1224,0.9119719339623003
8,8,0.4,1224,0.9247212236106641
8,8,0.45,1224,0.9360851925001404
8,8,0.5,1224,0.9481961692414961
8,8,0.55,1224,0.9589649835004793
8,8,0.6,1224,0.9678833477988771
10,10,0.3,2310,0.8812741172358236
10,10,0.35,2310,0.8962551446975462
10,10,0.4,2310,0.9113821982975534
10,10,0.45,2310,0.9254216650562875
10,10,0.5,2310,0.9396411151793382
10,10,0.55,2310,0.9520179632109658
10,10,0.6,2310,0.962134118316606
12,12,0.3,3900,0.8746435481949619
12,12,0.35,3900,0.8892885775944902
12,12,0.4,3900,0.9045307617557995
12,12,0.45,3900,0.9193170333355768
12,12,0.5,3900,0.9333204966995213
12,12,0.55,3900,0.9465764789179577
12,12,0.6,3900,0.9576751792606648
