ID,Num_Sym_Ops,Gamma_J_per_m2
0,12,2.9909555078268295
1,12,5.530904767340173
2,12,7.991910840308894
3,12,21.4139259654418
4,12,5.302439594132314
5,12,17.673989873780265
6,12,17.673929219705457
7,12,5.302438147584772
8,12,3.8819453346156827
9,12,6.897258284650796
10,12,6.659141615422245
11,12,11.35435175151519
12,12,11.354417152658161
13,12,6.6592594324209795
14,12,32.157662803158416
15,12,2.9572918309669416
16,12,1.9690921741146223
17,12,1.7525282783041023
18,12,11.4280051005935
19,12,11.623151768602241
20,12,5.994020498712874
21,12,5.994020592159107
22,12,5.994077856004931
23,12,5.994071938990054
24,12,3.382946971046687
25,12,8.591110464354118
26,12,6.975599849456492
27,12,6.975603908760436
28,12,6.975646587519688
29,12,6.975637082169826
30,12,10.020023933327241
31,3,39.782007767179856
32,3,31.536573442350694
33,3,14.322279769952965
34,3,5.412333354832151
35,3,3.126831329400022
36,3,10.634606199995071
37,3,14.801789818929924
38,3,18.87434616986947
39,3,11.933456150173186
40,3,16.39048493356158
41,3,5.467969636565617
42,3,9.61965032889887
44,3,24.740350317324147
46,3,2.643147007711932
47,3,4.889095201588207
48,3,6.346996829166696
49,3,26.365556721752448
50,3,6.34512615911919
51,3,4.087560569997182
52,3,7.837309729937853
54,3,7.058104163184996
55,3,7.837354864463855
56,3,11.6519828964356
57,3,3.8452879024010143
58,3,16.064965933153776
60,3,4.791950320387991
62,3,7.915653044056859
63,3,2.813962458260563
64,3,4.239813440312517
65,3,3.2040573967317623
66,3,19.68407480925597
67,3,7.8334326311692
68,3,7.8373080180030374
70,3,5.796491875250975
71,3,9.694890282718484
72,3,1.3762321661495163
73,3,15.747079182961473
74,3,6.778038119866495
75,3,5.754128564293266
76,3,4.791953235910164
77,3,16.06492281332836
78,3,9.202104930548005
79,6,9.4953057339397
80,6,16.314728009068066
81,6,7.094450034476619
82,6,9.495249823195206
83,6,3.1086504022331707
84,6,6.3875678639828015
85,6,16.608735574824465
86,6,4.473240761245468
87,6,4.47324007348127
88,6,5.312250718730009
89,6,5.037232300266261
91,6,9.226475122559057
92,6,3.7889276740840527
96,6,15.242347930952958
99,6,2.7206630274619767
103,6,8.217781056741506
104,6,15.242299331440996
105,6,3.3479809640712537
106,6,12.025416021880721
107,6,7.112336650893324
108,6,11.2308161541544
114,6,19.842245240175735
118,6,14.623245315353852
120,6,14.043990860749986
122,6,16.43037300730787
124,6,13.29383750064414
125,6,10.593217536887387
267,3,16.39562905846252
