ID,Num_Sym_Ops,Energy_Per_Atom_eV
0,12,-5.85100972703125
1,12,-5.74483447015625
2,12,-5.641959205625
3,12,-5.080890555
4,12,-5.754384798125
5,12,-5.2372278021875
6,12,-5.23723033765625
7,12,-5.75438485859375
8,12,-5.81376446578125
9,12,-5.68771800015625
10,12,-5.69767178109375
11,12,-5.50140205625
12,12,-5.50139932234375
13,12,-5.69766685609375
14,12,-4.6317796075
15,12,-5.85241694
16,12,-5.89372577796875
17,12,-5.90277860734375
18,12,-5.4983231903125
19,12,-5.49016564640625
20,12,-5.72547525203125
21,12,-5.725475248125
22,12,-5.725472854375
23,12,-5.72547310171875
24,12,-5.83462365390625
25,12,-5.61691139265625
26,12,-5.684443156875
27,12,-5.6844429871875
28,12,-5.684441203125
29,12,-5.68444160046875
30,12,-5.55717978421875
31,3,-4.313065845
32,3,-4.6577424578125
33,3,-5.37733638109375
34,3,-5.74979100625
35,3,-5.84532983
36,3,-5.53148894421875
37,3,-5.35729184578125
38,3,-5.1870503675
39,3,-5.47719426625
40,3,-5.29088102625
41,3,-5.747465291875
42,3,-5.57391624859375
44,3,-4.9418389740625
46,3,-5.86554885875
47,3,-5.77166346890625
48,3,-5.7107200940625
49,3,-4.8739019053125
50,3,-5.71079829203125
51,3,-5.80516931359375
52,3,-5.648421859375
54,3,-5.680994301875
55,3,-5.64841997265625
56,3,-5.48896044421875
57,3,-5.8152968240625
58,3,-5.3044884096875
60,3,-5.775724330625
62,3,-5.64514694296875
63,3,-5.85840841125
64,3,-5.79880482125
65,3,-5.842101616875
66,3,-5.1532019959375
67,3,-5.6485839303125
68,3,-5.6484219309375
70,3,-5.73373236671875
71,3,-5.57077105921875
72,3,-5.9185085815625
73,3,-5.31777674890625
74,3,-5.69270165546875
75,3,-5.7355032428125
76,3,-5.77572420875
77,3,-5.3044902121875
78,3,-5.5913705303125
79,6,-5.5791141159375
80,6,-5.29404782609375
81,6,-5.6794749675
82,6,-5.579116453125
83,6,-5.84608983125
84,6,-5.70902413890625
85,6,-5.28175768734375
86,6,-5.789047065
87,6,-5.78904709375
88,6,-5.75397467234375
89,6,-5.76547102453125
91,6,-5.5903518046875
92,6,-5.8176528009375
96,6,-5.33887558390625
99,6,-5.862308525
103,6,-5.63251735234375
104,6,-5.33887761546875
105,6,-5.83608530703125
106,6,-5.47335014890625
107,6,-5.6787272690625
108,6,-5.50656610578125
114,6,-5.14659013703125
118,6,-5.3647553840625
120,6,-5.38896944671875
122,6,-5.2892136203125
124,6,-5.42032744546875
125,6,-5.53321907796875
267,3,-5.2906659909375
